existingchecking	duration	credithistory	purpose	creditamount	savings	employmentsince	installmentrate	otherdebts	residencesince	property	otherinstallmentplans	housing	existingcredits	job	peopleliable	telephone	foreignworker	classification	gender
0 <= x < 200 DM	24	existing credits paid	used car	12579	x < 100 DM	x >= 7 years	4	none	2	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	F
no checking account	24	existing credits paid	radio/tv	3430	500 <= x < 1000 DM	x >= 7 years	3	none	2	car or other	none	own	1	skilled employee / official	2	yes	yes	1	M
no checking account	9	critical accnt. / other credits	new car	2134	x < 100 DM	1 <= x < 4 years	4	none	4	car or other	none	own	3	skilled employee / official	1	yes	yes	1	M
x < 0 DM	6	existing credits paid	radio/tv	2647	500 <= x < 1000 DM	1 <= x < 4 years	2	none	3	real estate	none	rent	1	skilled employee / official	2	none	yes	1	M
x < 0 DM	10	critical accnt. / other credits	new car	2241	x < 100 DM	x < 1 year	1	none	3	real estate	none	rent	2	unskilled-resident	2	none	no	1	M
0 <= x < 200 DM	12	critical accnt. / other credits	used car	1804	100 <= x < 500 DM	x < 1 year	3	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	10	critical accnt. / other credits	forniture	2069	unknown	1 <= x < 4 years	2	none	1	car or other	none	own	2	skilled employee / official	1	none	no	1	M
x < 0 DM	6	existing credits paid	forniture	1374	x < 100 DM	1 <= x < 4 years	1	none	2	real estate	bank	own	1	unskilled-resident	1	yes	yes	1	M
no checking account	6	no credits	radio/tv	426	x < 100 DM	x >= 7 years	4	none	4	car or other	none	own	1	unskilled-resident	1	none	yes	1	M
x >= 200DM	12	all credits paid	radio/tv	409	x >= 1000 DM	1 <= x < 4 years	3	none	3	real estate	none	rent	2	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	7	existing credits paid	radio/tv	2415	x < 100 DM	1 <= x < 4 years	3	guarantor	2	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	60	delay	business	6836	x < 100 DM	x >= 7 years	3	none	4	unknown	none	own	2	skilled employee / official	1	yes	yes	0	M
0 <= x < 200 DM	18	existing credits paid	business	1913	x >= 1000 DM	x < 1 year	3	none	3	real estate	bank	own	1	skilled employee / official	1	yes	yes	1	M
x < 0 DM	24	existing credits paid	forniture	4020	x < 100 DM	1 <= x < 4 years	2	none	2	car or other	stores	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	18	existing credits paid	new car	5866	100 <= x < 500 DM	1 <= x < 4 years	2	none	2	car or other	none	own	2	skilled employee / official	1	yes	yes	1	M
no checking account	12	critical accnt. / other credits	business	1264	unknown	x >= 7 years	4	none	4	unknown	none	rent	1	unskilled-resident	1	none	yes	1	M
x >= 200DM	12	existing credits paid	forniture	1474	x < 100 DM	x < 1 year	4	none	1	soc. savings / life insurance	bank	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	F
0 <= x < 200 DM	45	critical accnt. / other credits	radio/tv	4746	x < 100 DM	x < 1 year	4	none	2	soc. savings / life insurance	none	own	2	unskilled-resident	1	none	yes	0	M
no checking account	48	critical accnt. / other credits	education	6110	x < 100 DM	1 <= x < 4 years	1	none	3	unknown	bank	for free	1	skilled employee / official	1	yes	yes	1	M
x >= 200DM	18	existing credits paid	radio/tv	2100	x < 100 DM	1 <= x < 4 years	4	co-applicant	2	real estate	stores	own	1	skilled employee / official	1	none	yes	0	M
x >= 200DM	10	existing credits paid	appliances	1225	x < 100 DM	1 <= x < 4 years	2	none	2	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	9	existing credits paid	radio/tv	458	x < 100 DM	1 <= x < 4 years	4	none	3	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	30	existing credits paid	radio/tv	2333	500 <= x < 1000 DM	x >= 7 years	4	none	2	car or other	bank	own	1	management / self-employed / highly qualified employee / officer	1	none	yes	1	M
0 <= x < 200 DM	12	existing credits paid	radio/tv	1158	500 <= x < 1000 DM	1 <= x < 4 years	3	none	1	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	18	delay	repairs	6204	x < 100 DM	1 <= x < 4 years	2	none	4	real estate	none	own	1	unskilled-resident	2	yes	yes	1	M
x < 0 DM	30	critical accnt. / other credits	used car	6187	100 <= x < 500 DM	4 <= x < 7 years	1	none	4	car or other	none	rent	2	skilled employee / official	1	none	yes	1	M
x < 0 DM	48	critical accnt. / other credits	used car	6143	x < 100 DM	x >= 7 years	4	none	4	unknown	stores	for free	2	unskilled-resident	1	none	yes	0	F
no checking account	11	critical accnt. / other credits	new car	1393	x < 100 DM	x < 1 year	4	none	4	car or other	none	own	2	management / self-employed / highly qualified employee / officer	1	none	yes	1	F
no checking account	36	existing credits paid	radio/tv	2299	500 <= x < 1000 DM	x >= 7 years	4	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	6	existing credits paid	used car	1352	500 <= x < 1000 DM	unemployed	1	none	2	soc. savings / life insurance	none	rent	1	unemployed / unskilled-non-resident	1	yes	yes	1	F
no checking account	11	critical accnt. / other credits	new car	7228	x < 100 DM	1 <= x < 4 years	1	none	4	soc. savings / life insurance	none	own	2	unskilled-resident	1	none	yes	1	M
no checking account	12	existing credits paid	radio/tv	2073	100 <= x < 500 DM	1 <= x < 4 years	4	co-applicant	2	real estate	none	own	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	24	delay	forniture	2333	unknown	x < 1 year	4	none	2	soc. savings / life insurance	bank	own	1	unskilled-resident	1	none	yes	1	M
0 <= x < 200 DM	27	delay	used car	5965	x < 100 DM	x >= 7 years	1	none	2	car or other	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	12	existing credits paid	radio/tv	1262	x < 100 DM	1 <= x < 4 years	3	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	18	existing credits paid	used car	3378	unknown	1 <= x < 4 years	2	none	1	soc. savings / life insurance	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	36	delay	new car	2225	x < 100 DM	x >= 7 years	4	none	4	unknown	bank	for free	2	skilled employee / official	1	yes	yes	0	M
no checking account	6	all credits paid	new car	783	unknown	1 <= x < 4 years	1	guarantor	2	real estate	stores	own	1	unskilled-resident	2	none	yes	1	M
0 <= x < 200 DM	12	existing credits paid	radio/tv	6468	unknown	unemployed	2	none	1	unknown	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	36	critical accnt. / other credits	radio/tv	9566	x < 100 DM	1 <= x < 4 years	2	none	2	car or other	stores	own	2	skilled employee / official	1	none	yes	1	F
x >= 200DM	18	existing credits paid	new car	1961	x < 100 DM	x >= 7 years	3	none	2	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	none	yes	1	F
x < 0 DM	36	critical accnt. / other credits	forniture	6229	x < 100 DM	x < 1 year	4	co-applicant	4	unknown	none	rent	2	unskilled-resident	1	yes	yes	0	F
0 <= x < 200 DM	9	existing credits paid	business	1391	x < 100 DM	1 <= x < 4 years	2	none	1	real estate	bank	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	15	critical accnt. / other credits	radio/tv	1537	unknown	x >= 7 years	4	guarantor	4	real estate	none	own	2	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	36	no credits	business	1953	x < 100 DM	x >= 7 years	4	none	4	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
0 <= x < 200 DM	48	no credits	business	14421	x < 100 DM	1 <= x < 4 years	2	none	2	car or other	none	own	1	skilled employee / official	1	yes	yes	0	M
no checking account	24	existing credits paid	radio/tv	3181	x < 100 DM	x < 1 year	4	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	yes	yes	1	F
no checking account	27	existing credits paid	repairs	5190	unknown	x >= 7 years	4	none	4	soc. savings / life insurance	none	own	4	skilled employee / official	2	yes	yes	1	M
no checking account	12	existing credits paid	radio/tv	2171	x < 100 DM	x < 1 year	2	none	2	car or other	bank	own	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	12	existing credits paid	new car	1007	x >= 1000 DM	1 <= x < 4 years	4	none	1	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	36	existing credits paid	education	1819	x < 100 DM	1 <= x < 4 years	4	none	4	unknown	stores	for free	1	skilled employee / official	1	yes	yes	0	M
no checking account	36	existing credits paid	radio/tv	2394	unknown	1 <= x < 4 years	4	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	1	F
no checking account	36	existing credits paid	used car	8133	x < 100 DM	1 <= x < 4 years	1	none	2	soc. savings / life insurance	bank	own	1	skilled employee / official	1	none	yes	1	F
no checking account	7	critical accnt. / other credits	radio/tv	730	unknown	x >= 7 years	4	none	2	soc. savings / life insurance	none	rent	2	unskilled-resident	1	yes	yes	1	M
x < 0 DM	8	critical accnt. / other credits	others	1164	x < 100 DM	x >= 7 years	3	none	4	unknown	bank	for free	2	management / self-employed / highly qualified employee / officer	2	yes	yes	1	M
0 <= x < 200 DM	42	critical accnt. / other credits	business	5954	x < 100 DM	4 <= x < 7 years	2	none	1	real estate	bank	own	2	unskilled-resident	1	none	yes	1	F
x < 0 DM	36	existing credits paid	education	1977	unknown	x >= 7 years	4	none	4	unknown	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
x < 0 DM	12	critical accnt. / other credits	used car	1526	x < 100 DM	x >= 7 years	4	none	4	unknown	none	for free	2	management / self-employed / highly qualified employee / officer	1	none	yes	1	M
x < 0 DM	42	existing credits paid	radio/tv	3965	x < 100 DM	x < 1 year	4	none	3	car or other	none	own	1	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	11	delay	radio/tv	4771	x < 100 DM	4 <= x < 7 years	2	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	54	no credits	used car	9436	unknown	1 <= x < 4 years	2	none	2	soc. savings / life insurance	none	own	1	unskilled-resident	2	none	yes	1	M
0 <= x < 200 DM	30	existing credits paid	forniture	3832	x < 100 DM	x < 1 year	2	none	1	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	24	existing credits paid	radio/tv	5943	unknown	x < 1 year	1	none	1	car or other	none	own	2	skilled employee / official	1	yes	yes	0	F
no checking account	15	existing credits paid	radio/tv	1213	500 <= x < 1000 DM	x >= 7 years	4	none	3	soc. savings / life insurance	stores	own	1	skilled employee / official	1	yes	yes	1	M
no checking account	18	existing credits paid	business	1568	100 <= x < 500 DM	1 <= x < 4 years	3	none	4	soc. savings / life insurance	none	rent	1	unskilled-resident	1	none	yes	1	F
x < 0 DM	24	existing credits paid	others	1755	x < 100 DM	x >= 7 years	4	guarantor	4	real estate	none	own	1	unskilled-resident	1	yes	yes	1	F
x < 0 DM	10	existing credits paid	radio/tv	2315	x < 100 DM	x >= 7 years	3	none	4	real estate	none	own	1	unskilled-resident	1	none	yes	1	M
no checking account	12	critical accnt. / other credits	business	1412	x < 100 DM	1 <= x < 4 years	4	guarantor	2	real estate	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	F
0 <= x < 200 DM	18	critical accnt. / other credits	forniture	1295	x < 100 DM	x < 1 year	4	none	1	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	36	existing credits paid	education	12612	100 <= x < 500 DM	1 <= x < 4 years	1	none	4	unknown	none	for free	1	skilled employee / official	2	yes	yes	0	M
x < 0 DM	18	existing credits paid	new car	2249	100 <= x < 500 DM	4 <= x < 7 years	4	none	3	car or other	none	own	1	management / self-employed / highly qualified employee / officer	2	yes	yes	1	M
x < 0 DM	12	no credits	repairs	1108	x < 100 DM	4 <= x < 7 years	4	none	3	real estate	none	own	2	skilled employee / official	1	none	yes	0	M
no checking account	12	critical accnt. / other credits	radio/tv	618	x < 100 DM	x >= 7 years	4	none	4	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	12	critical accnt. / other credits	used car	1409	x < 100 DM	x >= 7 years	4	none	3	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	12	critical accnt. / other credits	radio/tv	797	unknown	x >= 7 years	4	none	3	soc. savings / life insurance	bank	own	1	unskilled-resident	2	none	yes	0	F
x >= 200DM	24	critical accnt. / other credits	forniture	3617	unknown	x >= 7 years	4	co-applicant	4	unknown	none	rent	2	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	12	existing credits paid	new car	1318	x >= 1000 DM	x >= 7 years	4	none	4	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	54	no credits	business	15945	x < 100 DM	x < 1 year	3	none	4	unknown	none	rent	1	skilled employee / official	1	yes	yes	0	M
no checking account	12	critical accnt. / other credits	education	2012	unknown	4 <= x < 7 years	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	18	existing credits paid	business	2622	100 <= x < 500 DM	1 <= x < 4 years	4	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	36	critical accnt. / other credits	radio/tv	2337	x < 100 DM	x >= 7 years	4	none	4	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	20	delay	used car	7057	unknown	4 <= x < 7 years	3	none	4	soc. savings / life insurance	bank	rent	2	management / self-employed / highly qualified employee / officer	2	yes	yes	1	M
no checking account	24	existing credits paid	new car	1469	100 <= x < 500 DM	x >= 7 years	4	none	4	real estate	none	rent	1	unskilled-resident	1	none	yes	1	M
0 <= x < 200 DM	36	existing credits paid	radio/tv	2323	x < 100 DM	4 <= x < 7 years	4	none	4	car or other	none	rent	1	skilled employee / official	1	none	yes	1	M
no checking account	6	delay	radio/tv	932	x < 100 DM	1 <= x < 4 years	3	none	2	real estate	none	own	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	9	critical accnt. / other credits	forniture	1919	x < 100 DM	4 <= x < 7 years	4	none	3	car or other	none	rent	1	skilled employee / official	1	yes	yes	1	M
no checking account	12	existing credits paid	used car	2445	unknown	x < 1 year	2	none	4	car or other	none	rent	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	24	critical accnt. / other credits	others	11938	x < 100 DM	1 <= x < 4 years	2	co-applicant	3	car or other	none	own	2	management / self-employed / highly qualified employee / officer	2	yes	yes	0	M
no checking account	18	all credits paid	new car	6458	x < 100 DM	x >= 7 years	2	none	4	unknown	bank	own	2	management / self-employed / highly qualified employee / officer	2	yes	yes	0	M
0 <= x < 200 DM	12	existing credits paid	new car	6078	x < 100 DM	4 <= x < 7 years	2	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	24	existing credits paid	forniture	7721	unknown	x < 1 year	1	none	2	soc. savings / life insurance	none	own	1	skilled employee / official	1	yes	no	1	F
0 <= x < 200 DM	14	existing credits paid	business	1410	500 <= x < 1000 DM	x >= 7 years	1	none	2	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	6	delay	business	1449	100 <= x < 500 DM	x >= 7 years	1	none	2	car or other	bank	own	2	skilled employee / official	2	none	yes	1	M
x >= 200DM	15	existing credits paid	education	392	x < 100 DM	x < 1 year	4	none	4	soc. savings / life insurance	none	rent	1	skilled employee / official	1	yes	yes	1	F
0 <= x < 200 DM	18	existing credits paid	new car	6260	x < 100 DM	4 <= x < 7 years	3	none	3	real estate	none	rent	1	unskilled-resident	1	none	yes	1	M
no checking account	36	critical accnt. / other credits	new car	7855	x < 100 DM	1 <= x < 4 years	4	none	2	real estate	stores	own	2	skilled employee / official	1	yes	yes	0	F
x < 0 DM	12	existing credits paid	radio/tv	1680	500 <= x < 1000 DM	x >= 7 years	3	none	1	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	48	critical accnt. / other credits	radio/tv	3578	unknown	x >= 7 years	4	none	1	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
x < 0 DM	42	existing credits paid	radio/tv	7174	unknown	4 <= x < 7 years	4	none	3	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	F
x < 0 DM	10	critical accnt. / other credits	forniture	2132	unknown	x < 1 year	2	co-applicant	3	real estate	none	rent	2	skilled employee / official	1	none	no	1	F
x < 0 DM	33	critical accnt. / other credits	forniture	4281	500 <= x < 1000 DM	1 <= x < 4 years	1	none	4	car or other	none	own	2	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	12	critical accnt. / other credits	new car	2366	500 <= x < 1000 DM	4 <= x < 7 years	3	none	3	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x < 0 DM	21	existing credits paid	radio/tv	1835	x < 100 DM	1 <= x < 4 years	3	none	2	real estate	none	own	2	skilled employee / official	1	yes	yes	0	F
no checking account	24	critical accnt. / other credits	used car	3868	x < 100 DM	x >= 7 years	4	none	2	car or other	none	rent	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	F
no checking account	12	existing credits paid	forniture	1768	x < 100 DM	1 <= x < 4 years	3	none	2	real estate	none	rent	1	unskilled-resident	1	none	yes	1	M
x >= 200DM	10	critical accnt. / other credits	new car	781	x < 100 DM	x >= 7 years	4	none	4	unknown	none	for free	2	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	18	existing credits paid	forniture	1924	unknown	x < 1 year	4	none	3	real estate	none	rent	1	skilled employee / official	1	none	yes	0	F
x < 0 DM	12	critical accnt. / other credits	new car	2121	x < 100 DM	1 <= x < 4 years	4	none	2	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	M
x < 0 DM	12	existing credits paid	radio/tv	701	x < 100 DM	1 <= x < 4 years	4	none	2	real estate	none	own	1	unskilled-resident	1	none	yes	1	M
0 <= x < 200 DM	12	existing credits paid	repairs	639	x < 100 DM	1 <= x < 4 years	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	12	critical accnt. / other credits	used car	1860	x < 100 DM	unemployed	4	none	2	car or other	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x < 0 DM	12	critical accnt. / other credits	new car	3499	x < 100 DM	1 <= x < 4 years	3	co-applicant	2	real estate	none	own	2	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	48	existing credits paid	new car	8487	unknown	4 <= x < 7 years	1	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	F
x < 0 DM	36	delay	education	6887	x < 100 DM	1 <= x < 4 years	4	none	3	soc. savings / life insurance	stores	own	1	skilled employee / official	1	yes	yes	0	M
no checking account	15	existing credits paid	forniture	2708	x < 100 DM	x < 1 year	2	none	3	soc. savings / life insurance	bank	own	2	unskilled-resident	1	none	yes	1	M
no checking account	18	existing credits paid	forniture	1984	x < 100 DM	1 <= x < 4 years	4	none	4	unknown	bank	for free	2	skilled employee / official	1	none	yes	1	M
no checking account	60	existing credits paid	radio/tv	10144	100 <= x < 500 DM	4 <= x < 7 years	2	none	4	real estate	none	own	1	skilled employee / official	1	yes	yes	1	F
no checking account	12	critical accnt. / other credits	radio/tv	1240	unknown	x >= 7 years	4	none	2	real estate	none	own	2	skilled employee / official	1	yes	yes	1	F
no checking account	27	delay	used car	8613	x >= 1000 DM	1 <= x < 4 years	2	none	2	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	12	existing credits paid	radio/tv	766	500 <= x < 1000 DM	1 <= x < 4 years	4	none	3	real estate	none	own	1	unskilled-resident	1	none	yes	0	M
0 <= x < 200 DM	15	critical accnt. / other credits	radio/tv	2728	unknown	4 <= x < 7 years	4	guarantor	2	real estate	bank	own	3	skilled employee / official	1	yes	yes	1	M
x >= 200DM	12	existing credits paid	radio/tv	1881	x < 100 DM	1 <= x < 4 years	2	none	2	car or other	none	rent	1	unskilled-resident	1	yes	yes	1	F
x >= 200DM	6	existing credits paid	new car	709	x >= 1000 DM	x < 1 year	2	none	2	real estate	none	own	1	unemployed / unskilled-non-resident	1	none	no	1	M
0 <= x < 200 DM	36	existing credits paid	radio/tv	4795	x < 100 DM	x < 1 year	4	none	1	unknown	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	F
x < 0 DM	27	existing credits paid	radio/tv	3416	x < 100 DM	1 <= x < 4 years	3	none	2	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	none	yes	1	M
x < 0 DM	18	existing credits paid	forniture	2462	x < 100 DM	1 <= x < 4 years	2	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	0	M
no checking account	21	critical accnt. / other credits	forniture	2288	x < 100 DM	x < 1 year	4	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	yes	yes	1	F
0 <= x < 200 DM	48	all credits paid	business	3566	100 <= x < 500 DM	4 <= x < 7 years	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	6	critical accnt. / other credits	new car	860	x < 100 DM	x >= 7 years	1	none	4	unknown	none	own	2	skilled employee / official	1	yes	yes	1	F
no checking account	12	critical accnt. / other credits	new car	682	100 <= x < 500 DM	4 <= x < 7 years	4	none	3	car or other	none	own	2	skilled employee / official	1	yes	yes	1	F
x < 0 DM	36	critical accnt. / other credits	forniture	5371	x < 100 DM	1 <= x < 4 years	3	guarantor	2	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	18	critical accnt. / other credits	radio/tv	1582	x >= 1000 DM	x >= 7 years	4	none	4	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	6	existing credits paid	radio/tv	1346	100 <= x < 500 DM	x >= 7 years	2	none	4	unknown	bank	for free	1	skilled employee / official	2	yes	yes	1	M
no checking account	10	existing credits paid	radio/tv	1924	x < 100 DM	1 <= x < 4 years	1	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	yes	no	1	M
x >= 200DM	36	existing credits paid	radio/tv	5848	x < 100 DM	1 <= x < 4 years	4	none	1	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	24	critical accnt. / other credits	used car	7758	x >= 1000 DM	x >= 7 years	2	none	4	unknown	none	rent	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	24	delay	business	6967	100 <= x < 500 DM	4 <= x < 7 years	4	none	4	car or other	none	rent	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x < 0 DM	12	existing credits paid	forniture	1282	x < 100 DM	1 <= x < 4 years	2	none	4	car or other	none	rent	1	skilled employee / official	1	none	yes	0	F
x < 0 DM	9	critical accnt. / other credits	repairs	1288	100 <= x < 500 DM	x >= 7 years	3	guarantor	4	real estate	none	own	2	skilled employee / official	2	none	no	1	M
x < 0 DM	12	all credits paid	retraining	339	x < 100 DM	x >= 7 years	4	none	1	car or other	bank	own	1	unskilled-resident	1	none	yes	1	M
0 <= x < 200 DM	24	existing credits paid	new car	3512	100 <= x < 500 DM	4 <= x < 7 years	2	none	3	car or other	bank	own	2	skilled employee / official	1	yes	yes	1	M
no checking account	6	critical accnt. / other credits	radio/tv	1898	unknown	1 <= x < 4 years	1	none	2	real estate	none	own	2	unskilled-resident	2	none	yes	1	M
no checking account	24	critical accnt. / other credits	radio/tv	2872	100 <= x < 500 DM	x >= 7 years	3	none	4	real estate	none	own	1	skilled employee / official	2	yes	yes	1	M
no checking account	18	critical accnt. / other credits	new car	1055	x < 100 DM	x < 1 year	4	none	1	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	F
no checking account	15	existing credits paid	appliances	1262	500 <= x < 1000 DM	4 <= x < 7 years	4	none	3	soc. savings / life insurance	none	own	2	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	10	existing credits paid	new car	7308	x < 100 DM	unemployed	2	none	4	unknown	bank	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	36	existing credits paid	new car	909	500 <= x < 1000 DM	x >= 7 years	4	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	6	existing credits paid	forniture	2978	500 <= x < 1000 DM	1 <= x < 4 years	1	none	2	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
x < 0 DM	18	existing credits paid	forniture	1131	x < 100 DM	unemployed	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	11	existing credits paid	forniture	1577	x >= 1000 DM	x < 1 year	4	none	1	real estate	none	own	1	skilled employee / official	1	none	yes	1	F
